ORIGINE_CODE;ORIGINE_NAME;X_START;Y_START;DESTINATION_CODE;DESTINATION_NAME;FORMATION;DEP_CODE;X_END;Y_END;FLUX
24309;NEUVIC;0.466382145;45.08922693;24138;COULOUNIEIX CHAMIERS;FCR-OUTILS WEB;24;0.687341021;45.16475489;1
24309;NEUVIC;0.466382145;45.08922693;24138;COULOUNIEIX CHAMIERS;FCR-PACK MICRO;24;0.687341021;45.16475489;1
24311;NONTRON;0.684358465;45.52971239;24138;COULOUNIEIX CHAMIERS;FCR-FC OBLIGATOIRE TAXI;24;0.687341021;45.16475489;2
24311;NONTRON;0.684358465;45.52971239;24138;COULOUNIEIX CHAMIERS;FCR-PACK MICRO;24;0.687341021;45.16475489;1
24311;NONTRON;0.684358465;45.52971239;33063;BORDEAUX;TFP MECANICIEN CYCLES;24;-0.573444149;44.85753608;1
24312;MARSANEIX;0.746061532;45.10054816;24053;BOULAZAC ISLE MANOIRE;CQP MECANICIEN DE MAINTENANCE AUTO;24;0.781873873;45.14219498;1
24312;NOTRE DAME DE SANILHAC;0.746061532;45.10054816;24053;BOULAZAC ISLE MANOIRE;*CAP CHARCUTIER-TRAITEUR*;24;0.781873873;45.14219498;1
24312;NOTRE DAME DE SANILHAC;0.746061532;45.10054816;24138;COULOUNIEIX CHAMIERS;FCD24-CREATION SITE WEB;24;0.687341021;45.16475489;1
24312;NOTRE DAME DE SANILHAC;0.746061532;45.10054816;24138;COULOUNIEIX CHAMIERS;FCD24-E COMMERCE;24;0.687341021;45.16475489;1
24312;NOTRE DAME DE SANILHAC;0.746061532;45.10054816;24138;COULOUNIEIX CHAMIERS;FCD24-REFERENCEMENT SITE WEB;24;0.687341021;45.16475489;1
24312;NOTRE DAME DE SANILHAC;0.746061532;45.10054816;24138;COULOUNIEIX CHAMIERS;FCD24-REUNION INFORMATION;24;0.687341021;45.16475489;1
24312;NOTRE DAME DE SANILHAC;0.746061532;45.10054816;24138;COULOUNIEIX CHAMIERS;FCR-FACEBOOK EXPERT;24;0.687341021;45.16475489;1
24312;NOTRE DAME DE SANILHAC;0.746061532;45.10054816;24138;COULOUNIEIX CHAMIERS;FCR-FC OBLIGATOIRE TAXI;24;0.687341021;45.16475489;1
24312;NOTRE DAME DE SANILHAC;0.746061532;45.10054816;24138;COULOUNIEIX CHAMIERS;FCR-HYGIENE ALIMENTAIRE;24;0.687341021;45.16475489;1
